項目コード,英語名,短縮英語名,日本語名
LA03,NumOfPersonsPerHousehold,NumOfPrsnsPerHshld,世帯人員
LB00,FoodTotal,Food,食料（合計）
LB01,C01Cereals,Cereals,01　穀類
LB011001,Rice,Rice,米
LB012001,WhiteBread,WhiteBread,食パン
LB012002,OtherBread,OtherBread,他のパン
LB013001,NonDriedUdonSoba,NonDriedUdonSoba,生うどん・そば
LB013002,DriedUdonSoba,DriedUdonSoba,乾うどん・そば
LB013003,Pasta,Pasta,パスタ
LB013004,ChineseNoodles,ChinsNodls133,中華麺
LB013005,CupNoodles,CupNodls,カップ麺
LB013006,InstantNoodles,InstnNodls,即席麺
LB013007,OtherNoodles,OtherNodls139,他の麺類
LB014001,WheatFlour,WheatFlour,小麦粉
LB014002,Mochi,Mochi,もち
LB014003,RestOfOtherCereals,Others160,他の穀類のその他
LB02,C02FishShellfish,FishShllf,02　魚介類
LB021101,TunaFish,TunaFish,まぐろ
LB021102,HorseMackerel,HorseMckrl,あじ
LB021103,Sardines,Sardines,いわし
LB021104,Bonito,Bonito,かつお
LB021105,Flounder,Flounder,かれい
LB021106,Salmon,Salmon,さけ
LB021107,Mackerel,Mackerel,さば
LB021108,Saury,Saury,さんま
LB021109,SeaBream,SeaBream,たい
LB021110,Yellowtail,Yellowtail,ぶり
LB021111,Squid,Squid,いか
LB021112,Octopus,Octopus,たこ
LB021113,ShrimpsLobsters,ShrmpLbstr,えび
LB021114,Crabs,Crabs,かに
LB021115,OtherRawFish,OtherRawFish,他の鮮魚
LB021116,SashimiMixedSet,SashimiMixedSet,さしみ盛合わせ
LB021201,ShortNeckedClams,ShortNeckdClams,あさり
LB021202,FreshWaterClams,FreshWaterClams,しじみ
LB021203,Oysters,Oysters,かき（貝）
LB021204,Scallops,Scallops,ほたて貝
LB021205,OtherShellfish,OtherShllf,他の貝
LB022001,SaltedSalmon,SaltdSalmn,塩さけ
LB022002,SaltedPollackRoe,SaltdPllckRoe,たらこ
LB022003,Shirasuboshi,Shirasuboshi,しらす干し
LB022004,DriedHorseMackerel,DriedHorseMckrl,干しあじ
LB022006,OtherSaltedDriedFish,OtherSaltdDriedFish,他の塩干魚介
LB023001,Agekamaboko,Agekamaboko,揚げかまぼこ
LB023002,Chikuwa,Chikuwa,ちくわ
LB023003,Kamaboko,Kamaboko,かまぼこ
LB023004,OtherFishPasteProducts,OtherFishPastePrdct,他の魚肉練製品
LB024001,BonitoFilletsFishFlakesDried,BonitFlltsFishFlaksDried,かつお節・削り節
LB024002,PickledFish,PckldFish,魚介の漬物
LB024003,FishPreparedInSoySauce,FishPrprdInSoySauce,魚介のつくだ煮
LB024004,CannedFish,CanndFish,魚介の缶詰
LB024005,RestOfOtherProcessedFish,Others217,他の魚介加工品のその他
LB03,C03Meat,Meat,03　肉類
LB031001,Beef,Beef,牛肉
LB031002,Pork,Pork,豚肉
LB031003,Chicken,Chicken,鶏肉
LB031004,MixedGroundMeat,MixedGrondMeat,合いびき肉
LB031005,OtherRawMeat,OtherRawMeat,他の生鮮肉
LB032001,Ham,Ham,ハム
LB032002,Sausages,Sausages,ソーセージ
LB032003,Bacon,Bacon,ベーコン
LB032004,OtherProcessedMeat,OtherPrcssMeat,他の加工肉
LB04,C04DairyProductsEggs,DairyPrdctEggs,04　乳卵類
LB041001,FreshMilk,FreshMilk,牛乳
LB042001,PowderedMilk,PwdrdMilk,粉ミルク
LB042002,Yogurt,Yogurt,ヨーグルト
